key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_qm13,13,qm,frc6194,frc540,frc1262,frc4472,frc9709,frc1599,29,67,9,14,15,42,0,0,0,3,red
2024vagle_qm16,16,qm,frc5804,frc2186,frc540,frc1086,frc1262,frc2106,42,82,12,27,25,50,0,0,0,3,red
2024vagle_qm21,21,qm,frc2988,frc2890,frc1262,frc2106,frc1522,frc5804,47,86,19,27,26,54,0,0,0,3,red
2024vagle_qm26,26,qm,frc1262,frc3136,frc3939,frc6802,frc2988,frc2106,70,61,24,29,41,32,0,0,4,1,blue
2024vagle_qm31,31,qm,frc6802,frc540,frc2186,frc1262,frc617,frc404,26,13,7,5,14,8,0,0,2,0,blue
2024vagle_qm38,38,qm,frc5338,frc1610,frc5724,frc2068,frc1262,frc3361,77,46,14,27,53,19,0,0,4,0,blue
2024vagle_qm4,4,qm,frc1262,frc9709,frc2186,frc6802,frc3361,frc977,41,28,10,21,21,7,0,0,3,0,blue
2024vagle_qm45,45,qm,frc617,frc1086,frc346,frc5724,frc1262,frc5954,59,50,17,9,42,41,0,0,3,0,blue
2024vagle_qm49,49,qm,frc5338,frc5804,frc1262,frc5724,frc9709,frc2988,54,44,15,26,39,18,0,0,3,0,blue
2024vagle_qm55,55,qm,frc4472,frc6882,frc1262,frc617,frc5338,frc1522,45,46,20,7,25,39,0,0,1,3,red
2024vagle_qm59,59,qm,frc3361,frc5954,frc6882,frc6802,frc1262,frc4821,42,48,19,19,23,29,0,0,0,2,red
2024vagle_qm9,9,qm,frc6194,frc2890,frc2186,frc1262,frc346,frc2998,37,60,14,24,23,36,0,0,0,4,red
2024vagle_sf3m1,1,sf,frc2186,frc4472,frc1262,frc5804,frc346,frc4821,61,92,5,29,56,63,0,0,0,0,red
2024vagle_sf6m1,1,sf,frc1599,frc1086,frc977,frc1262,frc4472,frc2186,84,59,21,10,49,49,0,0,0,0,blue
