key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_qm12,12,qm,frc2890,frc5724,frc3939,frc4286,frc2106,frc2186,51,61,16,22,35,39,0,0,1,3,red
2024vagle_qm17,17,qm,frc9709,frc4286,frc2890,frc5724,frc6882,frc2068,46,36,22,16,24,18,0,0,2,0,blue
2024vagle_qm21,21,qm,frc2988,frc2890,frc1262,frc2106,frc1522,frc5804,47,86,19,27,26,54,0,0,0,3,red
2024vagle_qm27,27,qm,frc404,frc1610,frc4286,frc2890,frc5338,frc1086,24,42,7,10,17,32,0,0,0,2,red
2024vagle_qm32,32,qm,frc3136,frc4286,frc5338,frc4821,frc6194,frc2890,58,33,24,16,34,17,0,0,3,0,blue
2024vagle_qm40,40,qm,frc3136,frc2106,frc2890,frc977,frc4472,frc6802,105,51,34,19,64,27,0,0,3,0,blue
2024vagle_qm44,44,qm,frc4472,frc5804,frc977,frc540,frc6802,frc2890,40,40,27,14,11,26,0,0,1,1,
2024vagle_qm5,5,qm,frc4821,frc1522,frc404,frc2890,frc5954,frc1610,31,37,9,9,17,26,0,0,0,2,red
2024vagle_qm50,50,qm,frc1599,frc617,frc6802,frc6882,frc2890,frc1522,67,44,17,14,45,30,0,0,3,0,blue
2024vagle_qm53,53,qm,frc2890,frc1599,frc2068,frc5804,frc6802,frc1610,51,70,17,22,34,48,0,0,1,3,red
2024vagle_qm58,58,qm,frc617,frc2068,frc2998,frc5804,frc2890,frc3136,25,92,7,27,16,55,0,0,0,4,red
2024vagle_qm9,9,qm,frc6194,frc2890,frc2186,frc1262,frc346,frc2998,37,60,14,24,23,36,0,0,0,4,red
2024vagle_sf1m1,1,sf,frc6802,frc2890,frc4286,frc3136,frc2106,frc404,42,56,14,9,18,47,0,0,0,0,red
2024vagle_sf5m1,1,sf,frc3939,frc2068,frc3361,frc6802,frc4286,frc2890,52,32,19,16,28,12,0,0,0,0,blue
