key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_qm10,10,qm,frc5954,frc1599,frc404,frc3136,frc3361,frc9709,16,53,2,24,14,29,0,0,0,3,red
2024vagle_qm14,14,qm,frc1522,frc2068,frc6802,frc2998,frc3361,frc2988,37,37,11,14,21,18,0,0,1,1,
2024vagle_qm19,19,qm,frc3361,frc4821,frc1610,frc346,frc3939,frc4472,36,82,19,27,15,45,0,0,0,3,red
2024vagle_qm25,25,qm,frc2998,frc977,frc4821,frc540,frc1599,frc3361,30,42,9,19,11,21,0,0,0,2,red
2024vagle_qm28,28,qm,frc5954,frc540,frc9709,frc2186,frc3361,frc617,27,31,14,17,13,14,0,0,0,2,red
2024vagle_qm34,34,qm,frc3361,frc3939,frc1086,frc1599,frc5804,frc2988,66,49,22,14,34,30,0,0,3,0,blue
2024vagle_qm38,38,qm,frc5338,frc1610,frc5724,frc2068,frc1262,frc3361,77,46,14,27,53,19,0,0,4,0,blue
2024vagle_qm4,4,qm,frc1262,frc9709,frc2186,frc6802,frc3361,frc977,41,28,10,21,21,7,0,0,3,0,blue
2024vagle_qm41,41,qm,frc1522,frc4286,frc3361,frc2186,frc1610,frc1599,25,39,19,12,6,22,0,0,0,2,red
2024vagle_qm46,46,qm,frc404,frc2106,frc3361,frc6194,frc2998,frc3136,59,44,24,14,30,30,0,0,3,0,blue
2024vagle_qm51,51,qm,frc3361,frc346,frc6194,frc3939,frc2998,frc4286,63,36,29,14,24,22,0,0,2,0,blue
2024vagle_qm59,59,qm,frc3361,frc5954,frc6882,frc6802,frc1262,frc4821,42,48,19,19,23,29,0,0,0,2,red
2024vagle_sf10m1,1,sf,frc3939,frc2068,frc3361,frc9709,frc5338,frc1522,49,56,21,27,18,29,0,0,0,0,red
2024vagle_sf2m1,1,sf,frc3939,frc2068,frc3361,frc6194,frc1610,frc5724,49,55,24,14,15,26,0,0,0,0,red
2024vagle_sf5m1,1,sf,frc3939,frc2068,frc3361,frc6802,frc4286,frc2890,52,32,19,16,28,12,0,0,0,0,blue
