key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_qm12,12,qm,frc2890,frc5724,frc3939,frc4286,frc2106,frc2186,51,61,16,22,35,39,0,0,1,3,red
2024vagle_qm17,17,qm,frc9709,frc4286,frc2890,frc5724,frc6882,frc2068,46,36,22,16,24,18,0,0,2,0,blue
2024vagle_qm23,23,qm,frc5338,frc404,frc6802,frc346,frc4286,frc5724,60,67,12,29,38,38,0,0,1,3,red
2024vagle_qm29,29,qm,frc5724,frc4821,frc5804,frc2068,frc6194,frc4472,59,31,19,19,38,6,0,0,3,0,blue
2024vagle_qm3,3,qm,frc1599,frc3136,frc4472,frc6194,frc5724,frc617,60,21,17,4,33,17,0,0,3,0,blue
2024vagle_qm35,35,qm,frc2106,frc6882,frc5724,frc4472,frc2998,frc1610,58,32,19,15,39,15,0,0,2,0,blue
2024vagle_qm38,38,qm,frc5338,frc1610,frc5724,frc2068,frc1262,frc3361,77,46,14,27,53,19,0,0,4,0,blue
2024vagle_qm45,45,qm,frc617,frc1086,frc346,frc5724,frc1262,frc5954,59,50,17,9,42,41,0,0,3,0,blue
2024vagle_qm49,49,qm,frc5338,frc5804,frc1262,frc5724,frc9709,frc2988,54,44,15,26,39,18,0,0,3,0,blue
2024vagle_qm54,54,qm,frc5954,frc4821,frc2988,frc2186,frc3136,frc5724,31,68,11,24,18,44,0,0,0,4,red
2024vagle_qm57,57,qm,frc346,frc5724,frc1599,frc404,frc2988,frc540,95,22,34,4,51,18,0,0,4,0,blue
2024vagle_qm7,7,qm,frc977,frc5724,frc1086,frc3939,frc6802,frc2068,31,50,7,11,24,39,0,0,0,2,red
2024vagle_sf2m1,1,sf,frc3939,frc2068,frc3361,frc6194,frc1610,frc5724,49,55,24,14,15,26,0,0,0,0,red
2024vagle_sf7m1,1,sf,frc5724,frc1610,frc6194,frc3136,frc2106,frc404,33,88,6,34,25,49,0,0,0,0,red
2024vagle_sf9m1,1,sf,frc1599,frc1086,frc977,frc6194,frc1610,frc5724,70,66,36,16,34,43,0,0,0,0,blue
