key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_qm1,1,qm,frc540,frc3939,frc6882,frc2106,frc2068,frc5338,35,71,14,22,11,34,0,0,1,3,red
2024vagle_qm15,15,qm,frc404,frc5338,frc346,frc3136,frc5954,frc977,42,51,22,14,20,37,0,0,0,2,red
2024vagle_qm20,20,qm,frc5954,frc6802,frc2998,frc1599,frc6194,frc5338,32,57,9,17,23,35,0,0,0,3,red
2024vagle_qm23,23,qm,frc5338,frc404,frc6802,frc346,frc4286,frc5724,60,67,12,29,38,38,0,0,1,3,red
2024vagle_qm27,27,qm,frc404,frc1610,frc4286,frc2890,frc5338,frc1086,24,42,7,10,17,32,0,0,0,2,red
2024vagle_qm32,32,qm,frc3136,frc4286,frc5338,frc4821,frc6194,frc2890,58,33,24,16,34,17,0,0,3,0,blue
2024vagle_qm38,38,qm,frc5338,frc1610,frc5724,frc2068,frc1262,frc3361,77,46,14,27,53,19,0,0,4,0,blue
2024vagle_qm42,42,qm,frc6882,frc2988,frc5338,frc3939,frc404,frc6194,33,60,9,12,24,18,0,0,0,2,red
2024vagle_qm49,49,qm,frc5338,frc5804,frc1262,frc5724,frc9709,frc2988,54,44,15,26,39,18,0,0,3,0,blue
2024vagle_qm55,55,qm,frc4472,frc6882,frc1262,frc617,frc5338,frc1522,45,46,20,7,25,39,0,0,1,3,red
2024vagle_qm60,60,qm,frc1086,frc2186,frc1522,frc5338,frc4472,frc9709,36,66,2,22,29,37,0,0,0,3,red
2024vagle_qm8,8,qm,frc1610,frc2988,frc1522,frc4821,frc5338,frc540,41,35,6,14,23,16,0,0,2,0,blue
2024vagle_sf10m1,1,sf,frc3939,frc2068,frc3361,frc9709,frc5338,frc1522,49,56,21,27,18,29,0,0,0,0,red
2024vagle_sf12m1,1,sf,frc1599,frc1086,frc977,frc9709,frc5338,frc1522,78,36,21,12,50,24,0,0,0,0,blue
2024vagle_sf4m1,1,sf,frc1599,frc1086,frc977,frc9709,frc5338,frc1522,70,76,26,27,44,37,0,0,0,0,red
2024vagle_sf8m1,1,sf,frc1522,frc5338,frc9709,frc5804,frc346,frc4821,49,95,27,29,22,61,0,0,0,0,red
