key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_qm14,14,qm,frc1522,frc2068,frc6802,frc2998,frc3361,frc2988,37,37,11,14,21,18,0,0,1,1,
2024vagle_qm2,2,qm,frc5804,frc2998,frc346,frc2988,frc1086,frc4286,47,24,19,4,28,20,0,0,2,0,blue
2024vagle_qm20,20,qm,frc5954,frc6802,frc2998,frc1599,frc6194,frc5338,32,57,9,17,23,35,0,0,0,3,red
2024vagle_qm25,25,qm,frc2998,frc977,frc4821,frc540,frc1599,frc3361,30,42,9,19,11,21,0,0,0,2,red
2024vagle_qm30,30,qm,frc2998,frc1522,frc1599,frc977,frc346,frc6882,28,28,14,2,9,21,0,0,1,1,
2024vagle_qm35,35,qm,frc2106,frc6882,frc5724,frc4472,frc2998,frc1610,58,32,19,15,39,15,0,0,2,0,blue
2024vagle_qm39,39,qm,frc3939,frc5954,frc5804,frc2998,frc404,frc6882,38,16,9,4,24,2,0,0,2,1,blue
2024vagle_qm43,43,qm,frc9709,frc2106,frc2998,frc4821,frc2068,frc3136,51,52,26,24,25,23,0,0,1,2,red
2024vagle_qm46,46,qm,frc404,frc2106,frc3361,frc6194,frc2998,frc3136,59,44,24,14,30,30,0,0,3,0,blue
2024vagle_qm51,51,qm,frc3361,frc346,frc6194,frc3939,frc2998,frc4286,63,36,29,14,24,22,0,0,2,0,blue
2024vagle_qm58,58,qm,frc617,frc2068,frc2998,frc5804,frc2890,frc3136,25,92,7,27,16,55,0,0,0,4,red
2024vagle_qm9,9,qm,frc6194,frc2890,frc2186,frc1262,frc346,frc2998,37,60,14,24,23,36,0,0,0,4,red
