team_key,mean_score,max_score,mean_auto,mean_tele
frc1086,47.75,82,13,32.5
frc1262,48.75,82,17.333333333333332,29.166666666666668
frc1522,42,86,13.166666666666666,24.75
frc1599,50.833333333333336,95,15.75,29.833333333333332
frc1610,46.833333333333336,77,13.666666666666666,29.083333333333332
frc2068,43.583333333333336,71,17,22.333333333333332
frc2106,65.08333333333333,105,25.25,36.75
frc2186,41.583333333333336,68,15.166666666666666,23.75
frc2890,52.083333333333336,105,17.666666666666668,32.666666666666664
frc2988,40.5,61,14.916666666666666,23.416666666666668
frc2998,36.5,60,14.083333333333334,19.583333333333332
frc3136,62.916666666666664,105,21.833333333333332,38
frc3361,44,66,21.166666666666668,20
frc346,58.333333333333336,95,22.5,32.75
frc3939,52.75,82,17.833333333333332,28.666666666666668
frc404,34.166666666666664,60,10.166666666666666,18.583333333333332
frc4286,37.666666666666664,67,15.75,21.083333333333332
frc4472,47.083333333333336,82,19.583333333333332,22.916666666666668
frc4821,37,59,14.75,18.416666666666668
frc5338,53.416666666666664,77,15.666666666666666,33.416666666666664
frc540,34.833333333333336,63,13.333333333333334,18.666666666666668
frc5724,54.75,95,18.083333333333332,34.666666666666664
frc5804,57.25,92,17.666666666666668,35.916666666666664
frc5954,36.833333333333336,51,12.333333333333334,23.416666666666668
frc617,36.25,67,12.333333333333334,22.083333333333332
frc6194,41.166666666666664,63,15.25,19.5
frc6802,47.5,70,15.916666666666666,29.083333333333332
frc6882,39.416666666666664,58,13.083333333333334,22.416666666666668
frc9709,48.833333333333336,67,20.666666666666668,24.833333333333332
frc977,38.833333333333336,53,16.333333333333332,20.25
