key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_qm11,11,qm,frc1610,frc1086,frc5804,frc617,frc6882,frc4821,59,29,7,9,52,10,0,0,3,1,blue
2024vagle_qm16,16,qm,frc5804,frc2186,frc540,frc1086,frc1262,frc2106,42,82,12,27,25,50,0,0,0,3,red
2024vagle_qm2,2,qm,frc5804,frc2998,frc346,frc2988,frc1086,frc4286,47,24,19,4,28,20,0,0,2,0,blue
2024vagle_qm22,22,qm,frc9709,frc617,frc3939,frc6882,frc3136,frc1086,54,56,22,17,27,39,0,0,0,3,red
2024vagle_qm27,27,qm,frc404,frc1610,frc4286,frc2890,frc5338,frc1086,24,42,7,10,17,32,0,0,0,2,red
2024vagle_qm34,34,qm,frc3361,frc3939,frc1086,frc1599,frc5804,frc2988,66,49,22,14,34,30,0,0,3,0,blue
2024vagle_qm37,37,qm,frc2988,frc2186,frc346,frc1086,frc1599,frc4821,51,39,24,12,27,22,0,0,3,0,blue
2024vagle_qm45,45,qm,frc617,frc1086,frc346,frc5724,frc1262,frc5954,59,50,17,9,42,41,0,0,3,0,blue
2024vagle_qm48,48,qm,frc2068,frc1086,frc5954,frc1610,frc346,frc540,45,63,14,22,29,39,0,0,1,4,red
2024vagle_qm52,52,qm,frc540,frc977,frc2106,frc1086,frc9709,frc404,53,34,29,17,24,17,0,0,3,0,blue
2024vagle_qm60,60,qm,frc1086,frc2186,frc1522,frc5338,frc4472,frc9709,36,66,2,22,29,37,0,0,0,3,red
2024vagle_qm7,7,qm,frc977,frc5724,frc1086,frc3939,frc6802,frc2068,31,50,7,11,24,39,0,0,0,2,red
2024vagle_sf12m1,1,sf,frc1599,frc1086,frc977,frc9709,frc5338,frc1522,78,36,21,12,50,24,0,0,0,0,blue
2024vagle_sf13m1,1,sf,frc1599,frc1086,frc977,frc3136,frc2106,frc404,61,67,21,29,28,23,0,0,0,0,red
2024vagle_sf4m1,1,sf,frc1599,frc1086,frc977,frc9709,frc5338,frc1522,70,76,26,27,44,37,0,0,0,0,red
2024vagle_sf6m1,1,sf,frc1599,frc1086,frc977,frc1262,frc4472,frc2186,84,59,21,10,49,49,0,0,0,0,blue
2024vagle_sf9m1,1,sf,frc1599,frc1086,frc977,frc6194,frc1610,frc5724,70,66,36,16,34,43,0,0,0,0,blue
