key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_qm1,1,qm,frc540,frc3939,frc6882,frc2106,frc2068,frc5338,35,71,14,22,11,34,0,0,1,3,red
2024vagle_qm14,14,qm,frc1522,frc2068,frc6802,frc2998,frc3361,frc2988,37,37,11,14,21,18,0,0,1,1,
2024vagle_qm17,17,qm,frc9709,frc4286,frc2890,frc5724,frc6882,frc2068,46,36,22,16,24,18,0,0,2,0,blue
2024vagle_qm24,24,qm,frc2068,frc1610,frc6194,frc2186,frc4472,frc5954,30,30,9,17,7,11,0,0,1,1,
2024vagle_qm29,29,qm,frc5724,frc4821,frc5804,frc2068,frc6194,frc4472,59,31,19,19,38,6,0,0,3,0,blue
2024vagle_qm33,33,qm,frc9709,frc977,frc2068,frc346,frc1522,frc5954,49,43,27,21,22,22,0,0,2,0,blue
2024vagle_qm38,38,qm,frc5338,frc1610,frc5724,frc2068,frc1262,frc3361,77,46,14,27,53,19,0,0,4,0,blue
2024vagle_qm43,43,qm,frc9709,frc2106,frc2998,frc4821,frc2068,frc3136,51,52,26,24,25,23,0,0,1,2,red
2024vagle_qm48,48,qm,frc2068,frc1086,frc5954,frc1610,frc346,frc540,45,63,14,22,29,39,0,0,1,4,red
2024vagle_qm53,53,qm,frc2890,frc1599,frc2068,frc5804,frc6802,frc1610,51,70,17,22,34,48,0,0,1,3,red
2024vagle_qm58,58,qm,frc617,frc2068,frc2998,frc5804,frc2890,frc3136,25,92,7,27,16,55,0,0,0,4,red
2024vagle_qm7,7,qm,frc977,frc5724,frc1086,frc3939,frc6802,frc2068,31,50,7,11,24,39,0,0,0,2,red
2024vagle_sf10m1,1,sf,frc3939,frc2068,frc3361,frc9709,frc5338,frc1522,49,56,21,27,18,29,0,0,0,0,red
2024vagle_sf2m1,1,sf,frc3939,frc2068,frc3361,frc6194,frc1610,frc5724,49,55,24,14,15,26,0,0,0,0,red
2024vagle_sf5m1,1,sf,frc3939,frc2068,frc3361,frc6802,frc4286,frc2890,52,32,19,16,28,12,0,0,0,0,blue
