key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_qm1,1,qm,frc540,frc3939,frc6882,frc2106,frc2068,frc5338,35,71,14,22,11,34,0,0,1,3,red
2024vagle_qm11,11,qm,frc1610,frc1086,frc5804,frc617,frc6882,frc4821,59,29,7,9,52,10,0,0,3,1,blue
2024vagle_qm17,17,qm,frc9709,frc4286,frc2890,frc5724,frc6882,frc2068,46,36,22,16,24,18,0,0,2,0,blue
2024vagle_qm22,22,qm,frc9709,frc617,frc3939,frc6882,frc3136,frc1086,54,56,22,17,27,39,0,0,0,3,red
2024vagle_qm30,30,qm,frc2998,frc1522,frc1599,frc977,frc346,frc6882,28,28,14,2,9,21,0,0,1,1,
2024vagle_qm35,35,qm,frc2106,frc6882,frc5724,frc4472,frc2998,frc1610,58,32,19,15,39,15,0,0,2,0,blue
2024vagle_qm39,39,qm,frc3939,frc5954,frc5804,frc2998,frc404,frc6882,38,16,9,4,24,2,0,0,2,1,blue
2024vagle_qm42,42,qm,frc6882,frc2988,frc5338,frc3939,frc404,frc6194,33,60,9,12,24,18,0,0,0,2,red
2024vagle_qm50,50,qm,frc1599,frc617,frc6802,frc6882,frc2890,frc1522,67,44,17,14,45,30,0,0,3,0,blue
2024vagle_qm55,55,qm,frc4472,frc6882,frc1262,frc617,frc5338,frc1522,45,46,20,7,25,39,0,0,1,3,red
2024vagle_qm59,59,qm,frc3361,frc5954,frc6882,frc6802,frc1262,frc4821,42,48,19,19,23,29,0,0,0,2,red
2024vagle_qm6,6,qm,frc2106,frc4472,frc617,frc6882,frc5804,frc4286,40,51,22,14,18,27,0,0,0,3,red
