key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_qm11,11,qm,frc1610,frc1086,frc5804,frc617,frc6882,frc4821,59,29,7,9,52,10,0,0,3,1,blue
2024vagle_qm19,19,qm,frc3361,frc4821,frc1610,frc346,frc3939,frc4472,36,82,19,27,15,45,0,0,0,3,red
2024vagle_qm24,24,qm,frc2068,frc1610,frc6194,frc2186,frc4472,frc5954,30,30,9,17,7,11,0,0,1,1,
2024vagle_qm27,27,qm,frc404,frc1610,frc4286,frc2890,frc5338,frc1086,24,42,7,10,17,32,0,0,0,2,red
2024vagle_qm35,35,qm,frc2106,frc6882,frc5724,frc4472,frc2998,frc1610,58,32,19,15,39,15,0,0,2,0,blue
2024vagle_qm38,38,qm,frc5338,frc1610,frc5724,frc2068,frc1262,frc3361,77,46,14,27,53,19,0,0,4,0,blue
2024vagle_qm41,41,qm,frc1522,frc4286,frc3361,frc2186,frc1610,frc1599,25,39,19,12,6,22,0,0,0,2,red
2024vagle_qm48,48,qm,frc2068,frc1086,frc5954,frc1610,frc346,frc540,45,63,14,22,29,39,0,0,1,4,red
2024vagle_qm5,5,qm,frc4821,frc1522,frc404,frc2890,frc5954,frc1610,31,37,9,9,17,26,0,0,0,2,red
2024vagle_qm53,53,qm,frc2890,frc1599,frc2068,frc5804,frc6802,frc1610,51,70,17,22,34,48,0,0,1,3,red
2024vagle_qm56,56,qm,frc4286,frc977,frc6194,frc1610,frc3939,frc2106,35,54,16,22,19,32,0,0,0,2,red
2024vagle_qm8,8,qm,frc1610,frc2988,frc1522,frc4821,frc5338,frc540,41,35,6,14,23,16,0,0,2,0,blue
2024vagle_sf2m1,1,sf,frc3939,frc2068,frc3361,frc6194,frc1610,frc5724,49,55,24,14,15,26,0,0,0,0,red
2024vagle_sf7m1,1,sf,frc5724,frc1610,frc6194,frc3136,frc2106,frc404,33,88,6,34,25,49,0,0,0,0,red
2024vagle_sf9m1,1,sf,frc1599,frc1086,frc977,frc6194,frc1610,frc5724,70,66,36,16,34,43,0,0,0,0,blue
