key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_f1m1,1,f,frc404,frc2106,frc3136,frc5804,frc346,frc4821,72,87,29,29,43,58,0,0,0,0,red
2024vagle_f1m2,2,f,frc404,frc2106,frc3136,frc5804,frc346,frc4821,84,92,34,29,50,61,0,0,0,0,red
2024vagle_qm10,10,qm,frc5954,frc1599,frc404,frc3136,frc3361,frc9709,16,53,2,24,14,29,0,0,0,3,red
2024vagle_qm15,15,qm,frc404,frc5338,frc346,frc3136,frc5954,frc977,42,51,22,14,20,37,0,0,0,2,red
2024vagle_qm18,18,qm,frc2988,frc617,frc3136,frc1522,frc404,frc977,46,33,19,4,27,24,0,0,2,0,blue
2024vagle_qm23,23,qm,frc5338,frc404,frc6802,frc346,frc4286,frc5724,60,67,12,29,38,38,0,0,1,3,red
2024vagle_qm27,27,qm,frc404,frc1610,frc4286,frc2890,frc5338,frc1086,24,42,7,10,17,32,0,0,0,2,red
2024vagle_qm31,31,qm,frc6802,frc540,frc2186,frc1262,frc617,frc404,26,13,7,5,14,8,0,0,2,0,blue
2024vagle_qm39,39,qm,frc3939,frc5954,frc5804,frc2998,frc404,frc6882,38,16,9,4,24,2,0,0,2,1,blue
2024vagle_qm42,42,qm,frc6882,frc2988,frc5338,frc3939,frc404,frc6194,33,60,9,12,24,18,0,0,0,2,red
2024vagle_qm46,46,qm,frc404,frc2106,frc3361,frc6194,frc2998,frc3136,59,44,24,14,30,30,0,0,3,0,blue
2024vagle_qm5,5,qm,frc4821,frc1522,frc404,frc2890,frc5954,frc1610,31,37,9,9,17,26,0,0,0,2,red
2024vagle_qm52,52,qm,frc540,frc977,frc2106,frc1086,frc9709,frc404,53,34,29,17,24,17,0,0,3,0,blue
2024vagle_qm57,57,qm,frc346,frc5724,frc1599,frc404,frc2988,frc540,95,22,34,4,51,18,0,0,4,0,blue
2024vagle_sf11m1,1,sf,frc4821,frc346,frc5804,frc3136,frc2106,frc404,90,79,34,24,51,50,0,0,0,0,blue
2024vagle_sf13m1,1,sf,frc1599,frc1086,frc977,frc3136,frc2106,frc404,61,67,21,29,28,23,0,0,0,0,red
2024vagle_sf1m1,1,sf,frc6802,frc2890,frc4286,frc3136,frc2106,frc404,42,56,14,9,18,47,0,0,0,0,red
2024vagle_sf7m1,1,sf,frc5724,frc1610,frc6194,frc3136,frc2106,frc404,33,88,6,34,25,49,0,0,0,0,red
