key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_f1m1,1,f,frc404,frc2106,frc3136,frc5804,frc346,frc4821,72,87,29,29,43,58,0,0,0,0,red
2024vagle_f1m2,2,f,frc404,frc2106,frc3136,frc5804,frc346,frc4821,84,92,34,29,50,61,0,0,0,0,red
2024vagle_qm11,11,qm,frc1610,frc1086,frc5804,frc617,frc6882,frc4821,59,29,7,9,52,10,0,0,3,1,blue
2024vagle_qm16,16,qm,frc5804,frc2186,frc540,frc1086,frc1262,frc2106,42,82,12,27,25,50,0,0,0,3,red
2024vagle_qm2,2,qm,frc5804,frc2998,frc346,frc2988,frc1086,frc4286,47,24,19,4,28,20,0,0,2,0,blue
2024vagle_qm21,21,qm,frc2988,frc2890,frc1262,frc2106,frc1522,frc5804,47,86,19,27,26,54,0,0,0,3,red
2024vagle_qm29,29,qm,frc5724,frc4821,frc5804,frc2068,frc6194,frc4472,59,31,19,19,38,6,0,0,3,0,blue
2024vagle_qm34,34,qm,frc3361,frc3939,frc1086,frc1599,frc5804,frc2988,66,49,22,14,34,30,0,0,3,0,blue
2024vagle_qm39,39,qm,frc3939,frc5954,frc5804,frc2998,frc404,frc6882,38,16,9,4,24,2,0,0,2,1,blue
2024vagle_qm44,44,qm,frc4472,frc5804,frc977,frc540,frc6802,frc2890,40,40,27,14,11,26,0,0,1,1,
2024vagle_qm49,49,qm,frc5338,frc5804,frc1262,frc5724,frc9709,frc2988,54,44,15,26,39,18,0,0,3,0,blue
2024vagle_qm53,53,qm,frc2890,frc1599,frc2068,frc5804,frc6802,frc1610,51,70,17,22,34,48,0,0,1,3,red
2024vagle_qm58,58,qm,frc617,frc2068,frc2998,frc5804,frc2890,frc3136,25,92,7,27,16,55,0,0,0,4,red
2024vagle_qm6,6,qm,frc2106,frc4472,frc617,frc6882,frc5804,frc4286,40,51,22,14,18,27,0,0,0,3,red
2024vagle_sf11m1,1,sf,frc4821,frc346,frc5804,frc3136,frc2106,frc404,90,79,34,24,51,50,0,0,0,0,blue
2024vagle_sf3m1,1,sf,frc2186,frc4472,frc1262,frc5804,frc346,frc4821,61,92,5,29,56,63,0,0,0,0,red
2024vagle_sf8m1,1,sf,frc1522,frc5338,frc9709,frc5804,frc346,frc4821,49,95,27,29,22,61,0,0,0,0,red
