key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_qm12,12,qm,frc2890,frc5724,frc3939,frc4286,frc2106,frc2186,51,61,16,22,35,39,0,0,1,3,red
2024vagle_qm16,16,qm,frc5804,frc2186,frc540,frc1086,frc1262,frc2106,42,82,12,27,25,50,0,0,0,3,red
2024vagle_qm24,24,qm,frc2068,frc1610,frc6194,frc2186,frc4472,frc5954,30,30,9,17,7,11,0,0,1,1,
2024vagle_qm28,28,qm,frc5954,frc540,frc9709,frc2186,frc3361,frc617,27,31,14,17,13,14,0,0,0,2,red
2024vagle_qm31,31,qm,frc6802,frc540,frc2186,frc1262,frc617,frc404,26,13,7,5,14,8,0,0,2,0,blue
2024vagle_qm37,37,qm,frc2988,frc2186,frc346,frc1086,frc1599,frc4821,51,39,24,12,27,22,0,0,3,0,blue
2024vagle_qm4,4,qm,frc1262,frc9709,frc2186,frc6802,frc3361,frc977,41,28,10,21,21,7,0,0,3,0,blue
2024vagle_qm41,41,qm,frc1522,frc4286,frc3361,frc2186,frc1610,frc1599,25,39,19,12,6,22,0,0,0,2,red
2024vagle_qm47,47,qm,frc4286,frc4821,frc4472,frc977,frc2186,frc3939,21,37,16,21,5,16,0,0,0,2,red
2024vagle_qm54,54,qm,frc5954,frc4821,frc2988,frc2186,frc3136,frc5724,31,68,11,24,18,44,0,0,0,4,red
2024vagle_qm60,60,qm,frc1086,frc2186,frc1522,frc5338,frc4472,frc9709,36,66,2,22,29,37,0,0,0,3,red
2024vagle_qm9,9,qm,frc6194,frc2890,frc2186,frc1262,frc346,frc2998,37,60,14,24,23,36,0,0,0,4,red
2024vagle_sf3m1,1,sf,frc2186,frc4472,frc1262,frc5804,frc346,frc4821,61,92,5,29,56,63,0,0,0,0,red
2024vagle_sf6m1,1,sf,frc1599,frc1086,frc977,frc1262,frc4472,frc2186,84,59,21,10,49,49,0,0,0,0,blue
