key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_qm15,15,qm,frc404,frc5338,frc346,frc3136,frc5954,frc977,42,51,22,14,20,37,0,0,0,2,red
2024vagle_qm18,18,qm,frc2988,frc617,frc3136,frc1522,frc404,frc977,46,33,19,4,27,24,0,0,2,0,blue
2024vagle_qm25,25,qm,frc2998,frc977,frc4821,frc540,frc1599,frc3361,30,42,9,19,11,21,0,0,0,2,red
2024vagle_qm30,30,qm,frc2998,frc1522,frc1599,frc977,frc346,frc6882,28,28,14,2,9,21,0,0,1,1,
2024vagle_qm33,33,qm,frc9709,frc977,frc2068,frc346,frc1522,frc5954,49,43,27,21,22,22,0,0,2,0,blue
2024vagle_qm4,4,qm,frc1262,frc9709,frc2186,frc6802,frc3361,frc977,41,28,10,21,21,7,0,0,3,0,blue
2024vagle_qm40,40,qm,frc3136,frc2106,frc2890,frc977,frc4472,frc6802,105,51,34,19,64,27,0,0,3,0,blue
2024vagle_qm44,44,qm,frc4472,frc5804,frc977,frc540,frc6802,frc2890,40,40,27,14,11,26,0,0,1,1,
2024vagle_qm47,47,qm,frc4286,frc4821,frc4472,frc977,frc2186,frc3939,21,37,16,21,5,16,0,0,0,2,red
2024vagle_qm52,52,qm,frc540,frc977,frc2106,frc1086,frc9709,frc404,53,34,29,17,24,17,0,0,3,0,blue
2024vagle_qm56,56,qm,frc4286,frc977,frc6194,frc1610,frc3939,frc2106,35,54,16,22,19,32,0,0,0,2,red
2024vagle_qm7,7,qm,frc977,frc5724,frc1086,frc3939,frc6802,frc2068,31,50,7,11,24,39,0,0,0,2,red
2024vagle_sf12m1,1,sf,frc1599,frc1086,frc977,frc9709,frc5338,frc1522,78,36,21,12,50,24,0,0,0,0,blue
2024vagle_sf13m1,1,sf,frc1599,frc1086,frc977,frc3136,frc2106,frc404,61,67,21,29,28,23,0,0,0,0,red
2024vagle_sf4m1,1,sf,frc1599,frc1086,frc977,frc9709,frc5338,frc1522,70,76,26,27,44,37,0,0,0,0,red
2024vagle_sf6m1,1,sf,frc1599,frc1086,frc977,frc1262,frc4472,frc2186,84,59,21,10,49,49,0,0,0,0,blue
2024vagle_sf9m1,1,sf,frc1599,frc1086,frc977,frc6194,frc1610,frc5724,70,66,36,16,34,43,0,0,0,0,blue
