key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_qm1,1,qm,frc540,frc3939,frc6882,frc2106,frc2068,frc5338,35,71,14,22,11,34,0,0,1,3,red
2024vagle_qm13,13,qm,frc6194,frc540,frc1262,frc4472,frc9709,frc1599,29,67,9,14,15,42,0,0,0,3,red
2024vagle_qm16,16,qm,frc5804,frc2186,frc540,frc1086,frc1262,frc2106,42,82,12,27,25,50,0,0,0,3,red
2024vagle_qm25,25,qm,frc2998,frc977,frc4821,frc540,frc1599,frc3361,30,42,9,19,11,21,0,0,0,2,red
2024vagle_qm28,28,qm,frc5954,frc540,frc9709,frc2186,frc3361,frc617,27,31,14,17,13,14,0,0,0,2,red
2024vagle_qm31,31,qm,frc6802,frc540,frc2186,frc1262,frc617,frc404,26,13,7,5,14,8,0,0,2,0,blue
2024vagle_qm36,36,qm,frc1522,frc6194,frc9709,frc4286,frc540,frc617,54,4,24,2,23,2,0,0,2,0,blue
2024vagle_qm44,44,qm,frc4472,frc5804,frc977,frc540,frc6802,frc2890,40,40,27,14,11,26,0,0,1,1,
2024vagle_qm48,48,qm,frc2068,frc1086,frc5954,frc1610,frc346,frc540,45,63,14,22,29,39,0,0,1,4,red
2024vagle_qm52,52,qm,frc540,frc977,frc2106,frc1086,frc9709,frc404,53,34,29,17,24,17,0,0,3,0,blue
2024vagle_qm57,57,qm,frc346,frc5724,frc1599,frc404,frc2988,frc540,95,22,34,4,51,18,0,0,4,0,blue
2024vagle_qm8,8,qm,frc1610,frc2988,frc1522,frc4821,frc5338,frc540,41,35,6,14,23,16,0,0,2,0,blue
