key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_f1m1,1,f,frc404,frc2106,frc3136,frc5804,frc346,frc4821,72,87,29,29,43,58,0,0,0,0,red
2024vagle_f1m2,2,f,frc404,frc2106,frc3136,frc5804,frc346,frc4821,84,92,34,29,50,61,0,0,0,0,red
2024vagle_qm10,10,qm,frc5954,frc1599,frc404,frc3136,frc3361,frc9709,16,53,2,24,14,29,0,0,0,3,red
2024vagle_qm15,15,qm,frc404,frc5338,frc346,frc3136,frc5954,frc977,42,51,22,14,20,37,0,0,0,2,red
2024vagle_qm18,18,qm,frc2988,frc617,frc3136,frc1522,frc404,frc977,46,33,19,4,27,24,0,0,2,0,blue
2024vagle_qm22,22,qm,frc9709,frc617,frc3939,frc6882,frc3136,frc1086,54,56,22,17,27,39,0,0,0,3,red
2024vagle_qm26,26,qm,frc1262,frc3136,frc3939,frc6802,frc2988,frc2106,70,61,24,29,41,32,0,0,4,1,blue
2024vagle_qm3,3,qm,frc1599,frc3136,frc4472,frc6194,frc5724,frc617,60,21,17,4,33,17,0,0,3,0,blue
2024vagle_qm32,32,qm,frc3136,frc4286,frc5338,frc4821,frc6194,frc2890,58,33,24,16,34,17,0,0,3,0,blue
2024vagle_qm40,40,qm,frc3136,frc2106,frc2890,frc977,frc4472,frc6802,105,51,34,19,64,27,0,0,3,0,blue
2024vagle_qm43,43,qm,frc9709,frc2106,frc2998,frc4821,frc2068,frc3136,51,52,26,24,25,23,0,0,1,2,red
2024vagle_qm46,46,qm,frc404,frc2106,frc3361,frc6194,frc2998,frc3136,59,44,24,14,30,30,0,0,3,0,blue
2024vagle_qm54,54,qm,frc5954,frc4821,frc2988,frc2186,frc3136,frc5724,31,68,11,24,18,44,0,0,0,4,red
2024vagle_qm58,58,qm,frc617,frc2068,frc2998,frc5804,frc2890,frc3136,25,92,7,27,16,55,0,0,0,4,red
2024vagle_sf11m1,1,sf,frc4821,frc346,frc5804,frc3136,frc2106,frc404,90,79,34,24,51,50,0,0,0,0,blue
2024vagle_sf13m1,1,sf,frc1599,frc1086,frc977,frc3136,frc2106,frc404,61,67,21,29,28,23,0,0,0,0,red
2024vagle_sf1m1,1,sf,frc6802,frc2890,frc4286,frc3136,frc2106,frc404,42,56,14,9,18,47,0,0,0,0,red
2024vagle_sf7m1,1,sf,frc5724,frc1610,frc6194,frc3136,frc2106,frc404,33,88,6,34,25,49,0,0,0,0,red
