key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_qm10,10,qm,frc5954,frc1599,frc404,frc3136,frc3361,frc9709,16,53,2,24,14,29,0,0,0,3,red
2024vagle_qm13,13,qm,frc6194,frc540,frc1262,frc4472,frc9709,frc1599,29,67,9,14,15,42,0,0,0,3,red
2024vagle_qm17,17,qm,frc9709,frc4286,frc2890,frc5724,frc6882,frc2068,46,36,22,16,24,18,0,0,2,0,blue
2024vagle_qm22,22,qm,frc9709,frc617,frc3939,frc6882,frc3136,frc1086,54,56,22,17,27,39,0,0,0,3,red
2024vagle_qm28,28,qm,frc5954,frc540,frc9709,frc2186,frc3361,frc617,27,31,14,17,13,14,0,0,0,2,red
2024vagle_qm33,33,qm,frc9709,frc977,frc2068,frc346,frc1522,frc5954,49,43,27,21,22,22,0,0,2,0,blue
2024vagle_qm36,36,qm,frc1522,frc6194,frc9709,frc4286,frc540,frc617,54,4,24,2,23,2,0,0,2,0,blue
2024vagle_qm4,4,qm,frc1262,frc9709,frc2186,frc6802,frc3361,frc977,41,28,10,21,21,7,0,0,3,0,blue
2024vagle_qm43,43,qm,frc9709,frc2106,frc2998,frc4821,frc2068,frc3136,51,52,26,24,25,23,0,0,1,2,red
2024vagle_qm49,49,qm,frc5338,frc5804,frc1262,frc5724,frc9709,frc2988,54,44,15,26,39,18,0,0,3,0,blue
2024vagle_qm52,52,qm,frc540,frc977,frc2106,frc1086,frc9709,frc404,53,34,29,17,24,17,0,0,3,0,blue
2024vagle_qm60,60,qm,frc1086,frc2186,frc1522,frc5338,frc4472,frc9709,36,66,2,22,29,37,0,0,0,3,red
2024vagle_sf10m1,1,sf,frc3939,frc2068,frc3361,frc9709,frc5338,frc1522,49,56,21,27,18,29,0,0,0,0,red
2024vagle_sf12m1,1,sf,frc1599,frc1086,frc977,frc9709,frc5338,frc1522,78,36,21,12,50,24,0,0,0,0,blue
2024vagle_sf4m1,1,sf,frc1599,frc1086,frc977,frc9709,frc5338,frc1522,70,76,26,27,44,37,0,0,0,0,red
2024vagle_sf8m1,1,sf,frc1522,frc5338,frc9709,frc5804,frc346,frc4821,49,95,27,29,22,61,0,0,0,0,red
