key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_f1m1,1,f,frc404,frc2106,frc3136,frc5804,frc346,frc4821,72,87,29,29,43,58,0,0,0,0,red
2024vagle_f1m2,2,f,frc404,frc2106,frc3136,frc5804,frc346,frc4821,84,92,34,29,50,61,0,0,0,0,red
2024vagle_qm1,1,qm,frc540,frc3939,frc6882,frc2106,frc2068,frc5338,35,71,14,22,11,34,0,0,1,3,red
2024vagle_qm10,10,qm,frc5954,frc1599,frc404,frc3136,frc3361,frc9709,16,53,2,24,14,29,0,0,0,3,red
2024vagle_qm11,11,qm,frc1610,frc1086,frc5804,frc617,frc6882,frc4821,59,29,7,9,52,10,0,0,3,1,blue
2024vagle_qm12,12,qm,frc2890,frc5724,frc3939,frc4286,frc2106,frc2186,51,61,16,22,35,39,0,0,1,3,red
2024vagle_qm13,13,qm,frc6194,frc540,frc1262,frc4472,frc9709,frc1599,29,67,9,14,15,42,0,0,0,3,red
2024vagle_qm14,14,qm,frc1522,frc2068,frc6802,frc2998,frc3361,frc2988,37,37,11,14,21,18,0,0,1,1,
2024vagle_qm15,15,qm,frc404,frc5338,frc346,frc3136,frc5954,frc977,42,51,22,14,20,37,0,0,0,2,red
2024vagle_qm16,16,qm,frc5804,frc2186,frc540,frc1086,frc1262,frc2106,42,82,12,27,25,50,0,0,0,3,red
2024vagle_qm17,17,qm,frc9709,frc4286,frc2890,frc5724,frc6882,frc2068,46,36,22,16,24,18,0,0,2,0,blue
2024vagle_qm18,18,qm,frc2988,frc617,frc3136,frc1522,frc404,frc977,46,33,19,4,27,24,0,0,2,0,blue
2024vagle_qm19,19,qm,frc3361,frc4821,frc1610,frc346,frc3939,frc4472,36,82,19,27,15,45,0,0,0,3,red
2024vagle_qm2,2,qm,frc5804,frc2998,frc346,frc2988,frc1086,frc4286,47,24,19,4,28,20,0,0,2,0,blue
2024vagle_qm20,20,qm,frc5954,frc6802,frc2998,frc1599,frc6194,frc5338,32,57,9,17,23,35,0,0,0,3,red
2024vagle_qm21,21,qm,frc2988,frc2890,frc1262,frc2106,frc1522,frc5804,47,86,19,27,26,54,0,0,0,3,red
2024vagle_qm22,22,qm,frc9709,frc617,frc3939,frc6882,frc3136,frc1086,54,56,22,17,27,39,0,0,0,3,red
2024vagle_qm23,23,qm,frc5338,frc404,frc6802,frc346,frc4286,frc5724,60,67,12,29,38,38,0,0,1,3,red
2024vagle_qm24,24,qm,frc2068,frc1610,frc6194,frc2186,frc4472,frc5954,30,30,9,17,7,11,0,0,1,1,
2024vagle_qm25,25,qm,frc2998,frc977,frc4821,frc540,frc1599,frc3361,30,42,9,19,11,21,0,0,0,2,red
2024vagle_qm26,26,qm,frc1262,frc3136,frc3939,frc6802,frc2988,frc2106,70,61,24,29,41,32,0,0,4,1,blue
2024vagle_qm27,27,qm,frc404,frc1610,frc4286,frc2890,frc5338,frc1086,24,42,7,10,17,32,0,0,0,2,red
2024vagle_qm28,28,qm,frc5954,frc540,frc9709,frc2186,frc3361,frc617,27,31,14,17,13,14,0,0,0,2,red
2024vagle_qm29,29,qm,frc5724,frc4821,frc5804,frc2068,frc6194,frc4472,59,31,19,19,38,6,0,0,3,0,blue
2024vagle_qm3,3,qm,frc1599,frc3136,frc4472,frc6194,frc5724,frc617,60,21,17,4,33,17,0,0,3,0,blue
2024vagle_qm30,30,qm,frc2998,frc1522,frc1599,frc977,frc346,frc6882,28,28,14,2,9,21,0,0,1,1,
2024vagle_qm31,31,qm,frc6802,frc540,frc2186,frc1262,frc617,frc404,26,13,7,5,14,8,0,0,2,0,blue
2024vagle_qm32,32,qm,frc3136,frc4286,frc5338,frc4821,frc6194,frc2890,58,33,24,16,34,17,0,0,3,0,blue
2024vagle_qm33,33,qm,frc9709,frc977,frc2068,frc346,frc1522,frc5954,49,43,27,21,22,22,0,0,2,0,blue
2024vagle_qm34,34,qm,frc3361,frc3939,frc1086,frc1599,frc5804,frc2988,66,49,22,14,34,30,0,0,3,0,blue
2024vagle_qm35,35,qm,frc2106,frc6882,frc5724,frc4472,frc2998,frc1610,58,32,19,15,39,15,0,0,2,0,blue
2024vagle_qm36,36,qm,frc1522,frc6194,frc9709,frc4286,frc540,frc617,54,4,24,2,23,2,0,0,2,0,blue
2024vagle_qm37,37,qm,frc2988,frc2186,frc346,frc1086,frc1599,frc4821,51,39,24,12,27,22,0,0,3,0,blue
2024vagle_qm38,38,qm,frc5338,frc1610,frc5724,frc2068,frc1262,frc3361,77,46,14,27,53,19,0,0,4,0,blue
2024vagle_qm39,39,qm,frc3939,frc5954,frc5804,frc2998,frc404,frc6882,38,16,9,4,24,2,0,0,2,1,blue
2024vagle_qm4,4,qm,frc1262,frc9709,frc2186,frc6802,frc3361,frc977,41,28,10,21,21,7,0,0,3,0,blue
2024vagle_qm40,40,qm,frc3136,frc2106,frc2890,frc977,frc4472,frc6802,105,51,34,19,64,27,0,0,3,0,blue
2024vagle_qm41,41,qm,frc1522,frc4286,frc3361,frc2186,frc1610,frc1599,25,39,19,12,6,22,0,0,0,2,red
2024vagle_qm42,42,qm,frc6882,frc2988,frc5338,frc3939,frc404,frc6194,33,60,9,12,24,18,0,0,0,2,red
2024vagle_qm43,43,qm,frc9709,frc2106,frc2998,frc4821,frc2068,frc3136,51,52,26,24,25,23,0,0,1,2,red
2024vagle_qm44,44,qm,frc4472,frc5804,frc977,frc540,frc6802,frc2890,40,40,27,14,11,26,0,0,1,1,
2024vagle_qm45,45,qm,frc617,frc1086,frc346,frc5724,frc1262,frc5954,59,50,17,9,42,41,0,0,3,0,blue
2024vagle_qm46,46,qm,frc404,frc2106,frc3361,frc6194,frc2998,frc3136,59,44,24,14,30,30,0,0,3,0,blue
2024vagle_qm47,47,qm,frc4286,frc4821,frc4472,frc977,frc2186,frc3939,21,37,16,21,5,16,0,0,0,2,red
2024vagle_qm48,48,qm,frc2068,frc1086,frc5954,frc1610,frc346,frc540,45,63,14,22,29,39,0,0,1,4,red
2024vagle_qm49,49,qm,frc5338,frc5804,frc1262,frc5724,frc9709,frc2988,54,44,15,26,39,18,0,0,3,0,blue
2024vagle_qm5,5,qm,frc4821,frc1522,frc404,frc2890,frc5954,frc1610,31,37,9,9,17,26,0,0,0,2,red
2024vagle_qm50,50,qm,frc1599,frc617,frc6802,frc6882,frc2890,frc1522,67,44,17,14,45,30,0,0,3,0,blue
2024vagle_qm51,51,qm,frc3361,frc346,frc6194,frc3939,frc2998,frc4286,63,36,29,14,24,22,0,0,2,0,blue
2024vagle_qm52,52,qm,frc540,frc977,frc2106,frc1086,frc9709,frc404,53,34,29,17,24,17,0,0,3,0,blue
2024vagle_qm53,53,qm,frc2890,frc1599,frc2068,frc5804,frc6802,frc1610,51,70,17,22,34,48,0,0,1,3,red
2024vagle_qm54,54,qm,frc5954,frc4821,frc2988,frc2186,frc3136,frc5724,31,68,11,24,18,44,0,0,0,4,red
2024vagle_qm55,55,qm,frc4472,frc6882,frc1262,frc617,frc5338,frc1522,45,46,20,7,25,39,0,0,1,3,red
2024vagle_qm56,56,qm,frc4286,frc977,frc6194,frc1610,frc3939,frc2106,35,54,16,22,19,32,0,0,0,2,red
2024vagle_qm57,57,qm,frc346,frc5724,frc1599,frc404,frc2988,frc540,95,22,34,4,51,18,0,0,4,0,blue
2024vagle_qm58,58,qm,frc617,frc2068,frc2998,frc5804,frc2890,frc3136,25,92,7,27,16,55,0,0,0,4,red
2024vagle_qm59,59,qm,frc3361,frc5954,frc6882,frc6802,frc1262,frc4821,42,48,19,19,23,29,0,0,0,2,red
2024vagle_qm6,6,qm,frc2106,frc4472,frc617,frc6882,frc5804,frc4286,40,51,22,14,18,27,0,0,0,3,red
2024vagle_qm60,60,qm,frc1086,frc2186,frc1522,frc5338,frc4472,frc9709,36,66,2,22,29,37,0,0,0,3,red
2024vagle_qm7,7,qm,frc977,frc5724,frc1086,frc3939,frc6802,frc2068,31,50,7,11,24,39,0,0,0,2,red
2024vagle_qm8,8,qm,frc1610,frc2988,frc1522,frc4821,frc5338,frc540,41,35,6,14,23,16,0,0,2,0,blue
2024vagle_qm9,9,qm,frc6194,frc2890,frc2186,frc1262,frc346,frc2998,37,60,14,24,23,36,0,0,0,4,red
2024vagle_sf10m1,1,sf,frc3939,frc2068,frc3361,frc9709,frc5338,frc1522,49,56,21,27,18,29,0,0,0,0,red
2024vagle_sf11m1,1,sf,frc4821,frc346,frc5804,frc3136,frc2106,frc404,90,79,34,24,51,50,0,0,0,0,blue
2024vagle_sf12m1,1,sf,frc1599,frc1086,frc977,frc9709,frc5338,frc1522,78,36,21,12,50,24,0,0,0,0,blue
2024vagle_sf13m1,1,sf,frc1599,frc1086,frc977,frc3136,frc2106,frc404,61,67,21,29,28,23,0,0,0,0,red
2024vagle_sf1m1,1,sf,frc6802,frc2890,frc4286,frc3136,frc2106,frc404,42,56,14,9,18,47,0,0,0,0,red
2024vagle_sf2m1,1,sf,frc3939,frc2068,frc3361,frc6194,frc1610,frc5724,49,55,24,14,15,26,0,0,0,0,red
2024vagle_sf3m1,1,sf,frc2186,frc4472,frc1262,frc5804,frc346,frc4821,61,92,5,29,56,63,0,0,0,0,red
2024vagle_sf4m1,1,sf,frc1599,frc1086,frc977,frc9709,frc5338,frc1522,70,76,26,27,44,37,0,0,0,0,red
2024vagle_sf5m1,1,sf,frc3939,frc2068,frc3361,frc6802,frc4286,frc2890,52,32,19,16,28,12,0,0,0,0,blue
2024vagle_sf6m1,1,sf,frc1599,frc1086,frc977,frc1262,frc4472,frc2186,84,59,21,10,49,49,0,0,0,0,blue
2024vagle_sf7m1,1,sf,frc5724,frc1610,frc6194,frc3136,frc2106,frc404,33,88,6,34,25,49,0,0,0,0,red
2024vagle_sf8m1,1,sf,frc1522,frc5338,frc9709,frc5804,frc346,frc4821,49,95,27,29,22,61,0,0,0,0,red
2024vagle_sf9m1,1,sf,frc1599,frc1086,frc977,frc6194,frc1610,frc5724,70,66,36,16,34,43,0,0,0,0,blue
