key,match_num,comp_level,b1,b2,b3,r1,r2,r3,b_score,r_score,b_auto_score,r_auto_score,b_tele_score,r_tele_score,b_adj_score,r_adj_score,b_rp,r_rp,winning_alliance
2024vagle_qm13,13,qm,frc6194,frc540,frc1262,frc4472,frc9709,frc1599,29,67,9,14,15,42,0,0,0,3,red
2024vagle_qm19,19,qm,frc3361,frc4821,frc1610,frc346,frc3939,frc4472,36,82,19,27,15,45,0,0,0,3,red
2024vagle_qm24,24,qm,frc2068,frc1610,frc6194,frc2186,frc4472,frc5954,30,30,9,17,7,11,0,0,1,1,
2024vagle_qm29,29,qm,frc5724,frc4821,frc5804,frc2068,frc6194,frc4472,59,31,19,19,38,6,0,0,3,0,blue
2024vagle_qm3,3,qm,frc1599,frc3136,frc4472,frc6194,frc5724,frc617,60,21,17,4,33,17,0,0,3,0,blue
2024vagle_qm35,35,qm,frc2106,frc6882,frc5724,frc4472,frc2998,frc1610,58,32,19,15,39,15,0,0,2,0,blue
2024vagle_qm40,40,qm,frc3136,frc2106,frc2890,frc977,frc4472,frc6802,105,51,34,19,64,27,0,0,3,0,blue
2024vagle_qm44,44,qm,frc4472,frc5804,frc977,frc540,frc6802,frc2890,40,40,27,14,11,26,0,0,1,1,
2024vagle_qm47,47,qm,frc4286,frc4821,frc4472,frc977,frc2186,frc3939,21,37,16,21,5,16,0,0,0,2,red
2024vagle_qm55,55,qm,frc4472,frc6882,frc1262,frc617,frc5338,frc1522,45,46,20,7,25,39,0,0,1,3,red
2024vagle_qm6,6,qm,frc2106,frc4472,frc617,frc6882,frc5804,frc4286,40,51,22,14,18,27,0,0,0,3,red
2024vagle_qm60,60,qm,frc1086,frc2186,frc1522,frc5338,frc4472,frc9709,36,66,2,22,29,37,0,0,0,3,red
2024vagle_sf3m1,1,sf,frc2186,frc4472,frc1262,frc5804,frc346,frc4821,61,92,5,29,56,63,0,0,0,0,red
2024vagle_sf6m1,1,sf,frc1599,frc1086,frc977,frc1262,frc4472,frc2186,84,59,21,10,49,49,0,0,0,0,blue
