team_key,max_opr,max_auto_opr,max_tele_opr,max_rp_opr,opr_1,auto_opr_1,tele_opr_1,rp_opr_1,opr_2,auto_opr_2,tele_opr_2,rp_opr_2,opr_3,auto_opr_3,tele_opr_3,rp_opr_3,opr_4,auto_opr_4,tele_opr_4,rp_opr_4
frc9773,13.989369684347583,3.4482041639388092,7.763351652824924,0.3681380174412619,9.49603344057796,2.4110768348735716,3.624902256939645,0.21785461572104367,13.989369684347583,3.4482041639388092,7.763351652824924,0.3681380174412619,,,,,,,,
frc8734,6.441058686265354,0.3471990352338669,3.430250576616071,-0.19168645834594958,6.441058686265354,0.3471990352338669,3.430250576616071,-0.19168645834594958,,,,,,,,,,,,
frc6606,5.56479303313089,1.421028679950171,1.6296069594381328,-0.7685144638654252,5.56479303313089,1.421028679950171,1.6296069594381328,-0.7685144638654252,,,,,,,,,,,,
frc323,17.49966089593825,4.30707417380784,11.328620547114255,0.6634701694496481,17.49966089593825,4.30707417380784,11.328620547114255,0.6634701694496481,,,,,,,,,,,,
frc4319,6.942882794320671,3.2997183903873313,3.801591891047467,-0.2880492407112149,3.958235589081261,3.2997183903873313,0.4454558894138362,-0.2880492407112149,6.942882794320671,2.0425488618842773,3.801591891047467,-0.37627297630433815,,,,,,,,
frc4127,3.1079668812076977,1.9155124113163722,1.2147310926283863,-0.30566312630482534,-0.06332287553487505,1.186064514952693,-0.24392332856449883,-0.30566312630482534,3.1079668812076977,1.9155124113163722,1.2147310926283863,-0.5242482633390988,,,,,,,,
frc9147,15.786042426307018,3.593209723977069,8.997328447302321,0.650219608767044,15.786042426307018,3.593209723977069,8.997328447302321,0.650219608767044,,,,,,,,,,,,
frc9693,8.017890083517194,2.738061591931641,3.528571461745544,-0.2573426564430523,8.017890083517194,2.738061591931641,3.528571461745544,-0.2573426564430523,,,,,,,,,,,,
frc6113,7.164826946514705,3.6860537444025336,3.711206112801742,0.3500874058853095,5.268500942174743,1.7758478491598275,2.855694765614196,0.061417044010381186,7.164826946514705,3.6860537444025336,3.711206112801742,0.3500874058853095,,,,,,,,
frc1518,10.260221326398332,4.93419601892014,5.2130138260576455,0.11245755245635558,10.260221326398332,4.93419601892014,5.2130138260576455,0.11245755245635558,,,,,,,,,,,,
frc5406,24.80752086018185,7.773423395714114,14.732222960684881,1.587264057098658,24.80752086018185,7.773423395714114,14.732222960684881,1.587264057098658,,,,,,,,,,,,
frc9302,11.634332894317797,4.1713782612671855,5.421340133726505,0.06476938689151031,11.634332894317797,4.1713782612671855,5.421340133726505,0.06476938689151031,,,,,,,,,,,,
frc7072,15.502968971189594,3.2745336964491902,12.827855359254318,-0.044970765541206166,15.502968971189594,2.123162615637553,12.827855359254318,-0.044970765541206166,5.57766332081406,3.2745336964491902,4.128465022732392,-0.0958947744944393,,,,,,,,
frc3242,2.2398381239793035,1.834831264130429,0.6320883411238235,-0.6103734272289825,2.2398381239793035,1.834831264130429,0.6320883411238235,-0.6103734272289825,,,,,,,,,,,,
frc166,32.845513430197926,9.820136963022511,22.929431109578566,10.333333333333329,32.845513430197926,9.820136963022511,22.929431109578566,1.1806279976328002,-2225.666666666666,-1856.6666666666663,-316.33333333333314,10.333333333333329,,,,,,,,
frc3537,8.34994320153061,1.5419116592408173,8.590717388254918,-0.08926248988461132,4.044078861403636,1.5419116592408173,5.02724647133135,-0.08926248988461132,8.34994320153061,1.236020734256164,8.590717388254918,-0.18594298350637886,,,,,,,,
frc7808,12.973255891866849,2.9674938383825444,10.744186203979499,-0.009219745232436358,3.322543590799954,1.7799026531005837,0.7887149031543703,-0.5855507420064896,12.973255891866849,2.9674938383825444,10.744186203979499,-0.009219745232436358,,,,,,,,
frc7763,33.02947701575813,11.724127011046473,18.615793098751347,1.7220940207359063,33.02947701575813,11.724127011046473,18.22820971029973,1.7220940207359063,32.65701586435561,8.877548024932018,18.615793098751347,1.7154638209166784,,,,,,,,
frc5985,6.654939372019354,2.484055954386394,4.801956829998384,0.11242169272896722,6.654939372019354,2.484055954386394,4.801956829998384,0.11242169272896722,,,,,,,,,,,,
